Month/Year,License Class,          Trips Per Day          ,          Farebox Per Day          ,           Unique Drivers           ,           Unique Vehicles           ,           Vehicles Per Day           ,         Avg Days Vehicles on Road         ,         Avg Hours Per Day Per Vehicle         ,         Avg Days Drivers on Road         ,         Avg Hours Per Day Per Driver         ,         Avg Minutes Per Trip         ,Percent of Trips Paid with Credit Card,Trips Per Day Shared
2022-07,Yellow," 102,052 "," 1,921,789 "," 9,843 "," 7,156 "," 5,702 ", 24.70 , 8.91 , 20.83 , 7.68 , 15.13 ,78%,0
2022-07,Green," 2,070 "," 37,356 ", 975 , 939 , 467 , 15.42 , 3.42 , 15.02 , 3.39 , 15.69 ,68%,0
2022-07,FHV - High Volume," 563,347 ", NULL ," 73,321 "," 71,036 "," 46,798 ", 20.40 , 6.50 , 20.10 , 6.40 , 19.00 ,-,853
2022-06,FHV - Livery," 21,637 ", NULL ," 4,608 "," 4,467 "," 3,013 ", 20.20 , 5.20 , 20.00 , 5.10 , 20.00 ,-,-
2022-06,FHV - Lux Limo," 1,155 ", NULL ," 1,479 "," 1,382 ", 534 , 11.60 , 2.10 , 11.20 , 2.10 , 70.00 ,-,-
2022-06,FHV - Black Car," 16,972 ", NULL ," 7,208 "," 6,996 "," 3,136 ", 13.50 , 4.10 , 13.30 , 4.00 , 28.00 ,-,-
2022-06,Yellow," 105,385 "," 2,057,705 "," 9,980 "," 7,226 "," 5,490 ", 22.80 , 9.37 , 19.51 , 7.93 , 16.37 ,79%,0
2022-06,Green," 2,451 "," 44,572 "," 1,038 "," 1,002 ", 526 , 15.77 , 3.58 , 15.36 , 3.55 , 16.84 ,69%,0
2022-06,FHV - High Volume," 592,656 ",  NULL  ," 74,020 "," 71,552 "," 49,341 ", 20.70 , 6.60 , 20.30 , 6.50 , 20.00 ,-,133
2022-05,FHV - Livery," 22,572 ",  NULL  ," 4,800 "," 4,619 "," 3,092 ", 20.80 , 5.10 , 20.40 , 5.00 , 20.00 ,-,-
2022-05,FHV - Lux Limo," 1,221 ",  NULL  ," 1,539 "," 1,495 ", 557 , 11.60 , 2.20 , 11.50 , 2.10 , 69.00 ,-,-
2022-05,FHV - Black Car," 16,299 ",  NULL  ," 7,226 "," 7,072 "," 2,969 ", 13.00 , 4.10 , 13.00 , 4.10 , 28.00 ,-,-
2022-05,Green," 2,480 "," 44,850 "," 1,065 "," 1,027 ", 531 , 16.04 , 3.55 , 15.64 , 3.52 , 16.69 ,69%,0
2022-05,Yellow," 115,449 "," 2,234,977 "," 9,976 "," 7,149 "," 5,961 ", 25.85 , 9.32 , 21.62 , 7.99 , 16.37 ,79%,0
2022-05,FHV - High Volume," 585,714 ",   -   ," 73,287 "," 71,059 "," 47,877 ", 20.90 , 6.60 , 20.60 , 6.50 , 20.00 ,-,0
2022-04,FHV - Black Car," 17,243 ",   -   ," 7,209 "," 7,093 "," 3,173 ", 13.40 , 4.10 , 13.40 , 4.10 , 28.00 ,-,-
2022-04,FHV - Livery," 22,819 ",   -   ," 4,919 "," 4,743 "," 3,208 ", 20.30 , 5.20 , 20.00 , 5.10 , 19.00 ,-,-
2022-04,FHV - Lux Limo," 1,413 ",   -   ," 1,572 "," 1,514 ", 623 , 12.30 , 2.20 , 12.30 , 2.20 , 67.00 ,-,-
2022-04,FHV - High Volume," 591,746 ",    -    ," 72,244 "," 70,281 "," 48,410 ", 20.70 , 6.50 , 20.40 , 6.40 , 19.00 ,-,0
